Professors,Food,WiFi,Clubs,Library,Advising,Wellness,Tutoring,Safety,Events,Commuting,Residence,Athletics,Printing,Overall,ChangeOneThing,BiggestStress,BestPart
,6,-1,,NA,NA,NA,2,3,4,,6,-1,3,,more parking spots,too much homework,gym and athletics
-1,NA,6,-1,,10,NA,6,,NA,NA,10,,1,,better gym equipment,commuting every day,library is quiet
,3,-1,10,-1,-1,1,,1,NA,NA,-1,,10,,better food options,slow wifi,career fairs and networking
NA,1,NA,NA,4,NA,5,,,,NA,NA,,1,1,more fun traditions,too much homework,tutoring center really helps
5,-1,4,10,4,,6,,NA,6,-1,-1,NA,,4,free coffee for students,cafeteria food prices,library is quiet
4,6,NA,2,3,NA,,2,10,NA,10,6,4,,,free coffee for students,lack of sleep,tutoring center really helps
10,5,-1,NA,NA,3,-1,5,2,NA,10,,5,,4,more parking spots,not enough outlets in library,campus events are fun
,,2,6,4,NA,,-1,NA,NA,5,4,,NA,NA,more parking spots,slow wifi,career fairs and networking
1,6,-1,NA,,10,10,4,NA,4,,3,1,-1,NA,fix the wifi,not enough outlets in library,friends I've made
,5,1,5,4,NA,3,6,NA,5,NA,,,NA,-1,better food options,commuting every day,friends I've made
,-1,4,-1,NA,,,,1,10,,NA,-1,4,NA,more fun traditions,lack of sleep,modern campus
,,10,NA,4,NA,10,NA,NA,3,4,6,,5,3,better gym equipment,exams all in one week,tutoring center really helps
1,NA,,10,2,,-1,10,NA,NA,NA,NA,NA,NA,NA,make campus greener,too much homework,modern campus
6,NA,NA,NA,6,10,NA,10,6,2,-1,10,,4,6,less paperwork in advising,registering for classes,library is quiet
2,,,4,NA,3,2,6,,-1,,NA,,-1,6,less paperwork in advising,too much homework,career fairs and networking
-1,NA,,,6,3,,NA,10,,,NA,5,,2,longer library hours,not enough outlets in library,technology resources are good
6,-1,,NA,NA,5,,,4,NA,6,NA,-1,,NA,free coffee for students,lack of sleep,tutoring center really helps
-1,1,10,NA,4,-1,10,NA,2,1,10,5,-1,10,,more fun traditions,group projects,career fairs and networking
-1,6,6,NA,6,NA,-1,1,10,NA,3,-1,2,,6,more campus events,too much homework,tutoring center really helps
,,,4,NA,NA,5,,10,10,NA,2,NA,NA,10,make campus greener,registering for classes,modern campus
-1,3,10,3,NA,,-1,6,1,,-1,NA,NA,10,-1,more campus events,slow wifi,technology resources are good
NA,NA,NA,,,NA,6,NA,NA,2,10,6,NA,2,,free coffee for students,slow wifi,career fairs and networking
NA,5,,-1,,-1,NA,,6,4,-1,6,4,5,NA,make campus greener,cafeteria food prices,career fairs and networking
,5,6,4,NA,-1,,10,2,3,10,5,4,,4,fix the wifi,too much homework,tutoring center really helps
NA,-1,2,-1,NA,NA,NA,NA,NA,,NA,3,NA,6,NA,better food options,group projects,clubs and student life
NA,10,4,-1,,6,6,,2,,-1,1,,NA,NA,longer library hours,group projects,clubs and student life
NA,,6,4,NA,-1,2,NA,3,,,-1,4,2,2,make campus greener,slow wifi,friends I've made
NA,1,NA,3,,2,,,4,5,3,NA,,-1,,make campus greener,slow wifi,campus events are fun
